ts,equity,open_pos,quotes,fills_min,pnl_min,pnl_hour,pnl_day,win_rate,avg_hold_s,wins,losses,stops,tps,max_holds,reconnections,wavelet_alerts,pick_rate
2026-05-10T20:37:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:37:51,6998.12,1,2,0,0.0,-1.123918,-1.882874,0.1778,324.6,8,37,0,2,43,0,0,0.2955
2026-05-10T20:38:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:38:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:38:53,6998.12,1,2,0,0.0,-1.123918,-1.882874,0.1778,324.6,8,37,0,2,43,0,0,0.2955
2026-05-10T20:39:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:39:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:39:53,6998.12,1,2,0,0.0,-1.123918,-1.882874,0.1778,324.6,8,37,0,2,43,0,0,0.2955
2026-05-10T20:40:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:40:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:40:55,6998.12,1,2,0,0.0,-1.123918,-1.882874,0.1778,324.6,8,37,0,2,43,0,0,0.2955
2026-05-10T20:41:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:41:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:41:56,6998.12,1,2,0,0.0,-1.123918,-1.882874,0.1778,324.6,8,37,0,2,43,0,0,0.2955
2026-05-10T20:42:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:42:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
